term,date,rank,estimated_search_volume
coraline merchandise,2024-04-20,131485,201.0
coraline merchandise,2024-04-27,134110,197.0
coraline merchandise,2024-05-04,129109,204.0
coraline merchandise,2024-05-11,115429,225.0
coraline merchandise,2024-05-18,109816,236.0
coraline merchandise,2024-05-25,137015,194.0
coraline merchandise,2024-06-01,147817,181.0
coraline merchandise,2024-06-08,136845,194.0
coraline merchandise,2024-06-15,122350,214.0
coraline merchandise,2024-06-22,127737,206.0
coraline merchandise,2024-06-29,121125,216.0
coraline merchandise,2024-07-06,117183,222.0
coraline merchandise,2024-07-13,93243,272.0
coraline merchandise,2024-07-27,101157,253.0
coraline merchandise,2024-08-03,81207,307.0
coraline merchandise,2024-08-10,47252,487.0
coraline merchandise,2024-08-17,22732,891.0
coraline merchandise,2024-08-24,14165,1300.0
coraline merchandise,2024-08-31,15025,1241.0
corduroy backpack,2024-04-13,179885,152.0
corduroy backpack,2024-04-20,201491,137.0
corduroy backpack,2024-04-27,175323,155.0
corduroy backpack,2024-05-04,207660,133.0
corduroy backpack,2024-05-11,218178,127.0
corduroy backpack,2024-05-18,204459,135.0
corduroy backpack,2024-05-25,214836,129.0
corduroy backpack,2024-06-01,194275,142.0
corduroy backpack,2024-06-08,182324,150.0
corduroy backpack,2024-06-15,160451,168.0
corduroy backpack,2024-06-22,151158,177.0
corduroy backpack,2024-06-29,108285,239.0
corduroy backpack,2024-07-06,71667,342.0
corduroy backpack,2024-07-13,38651,576.0
corduroy backpack,2024-07-27,21037,949.0
corduroy backpack,2024-08-03,16809,1135.0
corduroy backpack,2024-08-10,16201,1169.0
corduroy backpack,2024-08-17,21598,929.0
corduroy backpack,2024-08-24,29903,713.0
corduroy backpack,2024-08-31,40177,558.0
costumes for women,2024-04-13,115563,225.0
costumes for women,2024-04-20,126030,209.0
costumes for women,2024-04-27,113450,229.0
costumes for women,2024-05-04,126914,207.0
costumes for women,2024-05-11,126533,208.0
costumes for women,2024-05-18,122062,215.0
costumes for women,2024-05-25,132200,200.0
costumes for women,2024-06-01,137393,193.0
costumes for women,2024-06-08,125120,210.0
costumes for women,2024-06-15,126613,208.0
costumes for women,2024-06-22,102782,250.0
costumes for women,2024-06-29,100620,254.0
costumes for women,2024-07-06,86908,289.0
costumes for women,2024-07-13,70981,344.0
costumes for women,2024-07-27,54525,432.0
costumes for women,2024-08-03,46209,496.0
costumes for women,2024-08-10,38073,584.0
costumes for women,2024-08-17,29966,711.0
costumes for women,2024-08-24,21520,931.0
costumes for women,2024-08-31,15449,1214.0
covid,2024-04-13,200167,138.0
covid,2024-04-20,218134,127.0
covid,2024-04-27,224954,124.0
covid,2024-05-04,251507,112.0
covid,2024-05-11,207723,133.0
covid,2024-05-18,196590,140.0
covid,2024-05-25,182904,150.0
covid,2024-06-01,154370,174.0
covid,2024-06-08,130161,203.0
covid,2024-06-15,119774,218.0
covid,2024-06-22,87804,287.0
covid,2024-06-29,81053,307.0
covid,2024-07-06,59858,399.0
covid,2024-07-13,46375,495.0
covid,2024-07-27,32599,664.0
covid,2024-08-03,34284,637.0
covid,2024-08-10,32210,670.0
covid,2024-08-17,33113,655.0
covid,2024-08-24,33094,656.0
covid,2024-08-31,32713,662.0
covid home test,2024-04-13,3329,3875.0
covid home test,2024-04-20,3415,3804.0
covid home test,2024-04-27,3284,3913.0
covid home test,2024-05-04,3303,3897.0
covid home test,2024-05-11,2987,4188.0
covid home test,2024-05-18,2614,4606.0
covid home test,2024-05-25,2239,5139.0
covid home test,2024-06-01,2000,5561.0
covid home test,2024-06-08,1846,5880.0
covid home test,2024-06-15,1382,7175.0
covid home test,2024-06-22,983,9023.0
covid home test,2024-06-29,590,12593.0
covid home test,2024-07-06,438,15214.0
covid home test,2024-07-13,282,19969.0
covid home test,2024-07-27,140,30215.0
covid home test,2024-08-03,152,28814.0
covid home test,2024-08-10,150,29036.0
covid home test,2024-08-17,147,29377.0
covid home test,2024-08-24,152,28814.0
covid home test,2024-08-31,174,26633.0
covid test,2024-04-13,10250,1673.0
covid test,2024-04-20,11471,1533.0
