term,asin,title,category,subcategory,brand,list_price_amount,list_price_currency,image_url
school planner,B091F4B9M6,"Undated Weekly Goals Notebook, A5 To Do List Planner with Spiral Binding, 5.7 x 8.0 inches",Unknown Binding,Office Product,KAICN,8.99,USD,https://m.media-amazon.com/images/I/41wLeWk+X5S._SL75_.jpg
school planner,B0C99RZ2WS,"2024-2025 Planner - Academic Planner 2024-2025 from July 2024 - June 2025, Weekly & Monthly Planner & Journal to Track Goals, Medium 6.4"" x 8.5"", Teal",Unknown Binding,Office Product,Heveboik,11.99,USD,https://m.media-amazon.com/images/I/41T2e97wLqL._SL75_.jpg
school planner,B0CTTYNZB1,"Blue Sky 2024-2025 Academic Year Weekly and Monthly Planner, 8.5"" x 11"", Flexible Cover, Wirebound, Enterprise (150144)",Spiral-bound,Office Product,Blue Sky,11.99,USD,https://m.media-amazon.com/images/I/418yq+qDA3L._SL75_.jpg
school planner,B0CZ6VXHHW,"Planner 2024-2025, Academic Year Monthly and Weekly Calender Planner 6.3"" x 8.5"" - 12 Months (Jul 2024 - Jun 2025), Hardcover Spiral Bound School Teacher Student Planner with monthly Tabs, Inner Pocket - Abstract Botanical",Spiral-bound,Office Product,Taja,7.99,USD,https://m.media-amazon.com/images/I/41bFae7k4rL._SL75_.jpg
school planner,B0CZ736N1Y,"Academic Planner 2024-2025 For Women & Men, Monthly and Weekly Calender Planner, Jul 2024 - Jun 2025, A5 (6.3"" x 8.5""), Teacher Planner 2024-2025 with Tabs, Ideal for Office School Supplies - Pink",Spiral-bound,Office Product,Taja,7.99,USD,https://m.media-amazon.com/images/I/41TIh5SGSEL._SL75_.jpg
school shoes for girls,B00FC3BIFQ,"French Toast Girls Mary Jane Shoes School Kids Uniform Flats Ballet Strap Dress Formal Slip-On (Toddler, Little Kid, Big Kid)",Apparel,Shoes,French Toast,0.0,USD,https://m.media-amazon.com/images/I/31Oxiq-E5HL._SL75_.jpg
school shoes for girls,B00J2NVJ8S,Dr. Martens Maccy Mary Jane (Little Kid/Big Kid),Apparel,Shoes,Dr. Martens,65.0,USD,https://m.media-amazon.com/images/I/41dVmxP6SPL._SL75_.jpg
school shoes for girls,B00S15SAQM,"Hush Puppies unisex child Lexi Mary Jane Flat, Black, 3.5 Big Kid US",Apparel,Shoes,Hush Puppies,55.0,USD,https://m.media-amazon.com/images/I/210QhqTScSL._SL75_.jpg
school shoes for girls,B0765SDFFD,"JABASIC Girl's Mary Jane School Uniform Shoes (2,Black)",Apparel,Shoes,JABASIC,38.99,USD,https://m.media-amazon.com/images/I/41PEg7esjYL._SL75_.jpg
school shoes for girls,B07BCFMGRV,JABASIC Girl's Mary Jane School Uniform Shoes (7 M US Toddler) Black,Apparel,Shoes,JABASIC,38.99,USD,https://m.media-amazon.com/images/I/41PEg7esjYL._SL75_.jpg
school shoes for girls,B07JNCY79X,"JABASIC Girl's Mary Jane School Uniform Shoes (5M,Black)",Apparel,Shoes,JABASIC,38.99,USD,https://m.media-amazon.com/images/I/41PEg7esjYL._SL75_.jpg
school shoes for girls,B09VQ3QMG2,JABASIC Girl's Mary Jane School Uniform Shoes,Shoes,Shoes,JABASIC,0.0,USD,https://m.media-amazon.com/images/I/41PEg7esjYL._SL75_.jpg
school shoes for girls,B09Y94QGSM,"DREAM PAIRS Girls School Uniform Shoes Mary Jane Dress Flats(Little Kid/Big Kid),Size 5 Big Kid,BLACK/PU,SDFL2210K",Apparel,Shoes,DREAM PAIRS,39.99,USD,https://m.media-amazon.com/images/I/41V4A3-xl+L._SL75_.jpg
school shoes for girls,B09YRNCQ6W,DADAWEN Girls Dress Shoes Mary Jane Flats Back to School Party Wedding Shoes(Toddler/Little Kid/Big Kid),Apparel,Shoes,DADAWEN,0.0,USD,https://m.media-amazon.com/images/I/41OZW+32hcL._SL75_.jpg
school shoes for girls,B0B3868M1T,"JABASIC Girls School Uniform Shoes Mary Jane Shoes (1,Black)",Shoes,Shoes,JABASIC,38.99,USD,https://m.media-amazon.com/images/I/41PEg7esjYL._SL75_.jpg
